Time	wtime	rx_bytes	rx_packets	tx_bytes	tx_packets	pss	rss	swap	vmem	nprocs	nthreads	rchar	read_bytes	wchar	write_bytes	stime	utime
1625038129	0	52	1	52	1	13426	19940	0	200488	6	7	1499135	6991872	2473	8192	0	0
1625038135	5	15909526	24219	15909526	24219	44289	50928	0	392516	6	7	5894598	40239104	448664	12288	0	1
1625038141	10	31873549	48609	31873549	48609	256779	269076	0	837916	4	5	9068270	279343104	1632737	24576	1	2
1625038147	20	48177926	73411	48112511	73414	271141	306032	0	992272	4	5	16437862	365240320	1649354	49152	2	5
1625038153	25	64022220	97344	63792224	97360	298233	348056	0	1073108	4	5	26215189	382885888	2570876	978944	2	8
1625038159	30	80116320	121834	79886324	121850	369949	417316	0	1218168	4	5	45456573	414470144	2634562	1044480	2	12
1625038165	35	95887294	145803	95657298	145819	367587	404764	0	1222792	4	5	46270198	416641024	2644249	1056768	2	18
1625038171	46	111860622	170202	111630626	170218	322973	330604	0	1240200	4	5	47475465	422883328	2651337	1069056	2	24
1625038177	46	128334426	195363	128104430	195379	355695	363392	0	1272968	4	5	48161742	423694336	2652737	1077248	2	30
1625038183	56	143764739	218830	143534743	218846	384974	393012	0	1301896	4	5	48955563	427229184	2655378	1085440	2	36
1625038189	61	159974413	243164	159515229	243194	418309	425536	0	1336456	4	5	49643393	430223360	2657181	1089536	3	42
1625038195	66	176290108	267983	175814911	268023	453695	460436	0	1371272	4	5	50352401	435376128	2659482	1097728	3	48
1625038201	71	193563818	292687	191756973	292918	483688	490452	0	1401736	4	5	51038682	439853056	2660759	1101824	3	54
1625038207	81	211920382	317767	207945961	318007	531349	556876	0	1442516	4	5	52739304	457093120	2662140	1105920	3	59
1625038213	81	230136610	344002	224935209	344431	644472	691916	0	1571932	4	5	57671658	647860224	2663270	1114112	3	62
1625038219	92	247955321	369610	274761953	369521	764527	773488	0	1730448	4	5	60989875	839557120	2666893	1122304	4	66
1625038225	97	264512601	399702	486449027	398854	799219	810788	0	1799148	4	5	63669872	881889280	2680270	1142784	4	72
